#aff,Name,formula,dens,cond
# primitive siderophiles
CHA,uranium,1U,19.1,1400
CHA,thorium,1Th,11.7,1400
CHA,chalcopyrite,1Cu1Fe2S,4.2,650
CHA,copper,1Cu,8.96,1170
CHA,silver,1Ag,10.49,1000
CHA,tin,1Sn,7.3,720
CHA,lead,1Pb,11.0,405
CHA,lead_tin,1Sn1Pb,9.0,550
CHA,mercury,1Hg,13.6,250
# solutes in magma temp 2000-4000 pressure < 4 GPa
DIS,mafic_magma,1Ca1Al4Fe5Mg4Si16O
DIS,ultramafic_magma,3Fe1Mg3Si10O
DIS,feldspathic_magma,10Ca6Na1K5Al12Si32O
DIS,mag_uranium,1U,2.8,1400
DIS,mag_thorium,1Th,2.5,1400
DIS,mag_lead,1Pb,2.3,1400
DIS,mag_silica,1Si2O,2.2,1400
DIS,mag_gold,1Au,2.8,1400
DIS,mag_silver,1Ag,2.8,1400
DIS,mag_kcl,1K1Cl,1.8,1400
DIS,mag_salt,1Na1Cl,1.7,1400
DIS,mag_tin,1Sn,2.2,1400
# solutes in water - temp 250-380, pressure > 100 Pa
DIS,sw_k_chloride,1K1Cl,1.1,380
DIS,sw_salt,1Na1Cl,1.05,380
# reactives
REA,oxygen,2O,1.14,90
REA,sulfur,1S,2.07,390
REA,hydrogen_peroxide,2H2O,1.14,270
REA,phosphoric_acid,3H1P4O,2.03,315
REA,nitric_acid,1H1N3O,1.2,235
REA,hydrochloric_acid,1H1Cl,0.78,159
REA,acetylene,2C2H,1.1,192
REA,carbonic_acid,2H1C3O,1.668,220
REA,sulfuric_acid,2H1S4O,1.84,283
REA,lithium_hydride,1Li1H,0.78,900
REA,sodium_hydride,1Na1H,1.4,600
REA,potassium_hydride,1K1H,1.43,500
REA,sodium_hydroxide,1Na1O1H,
REA,postassium_hydroxide,1K1O1H,
REA,calcium_oxide,1Ca1O,3.34,1200
REA,magnesium_oxide,1Mg1O,3.58,1200
REA,ferric_oxide,1Fe1O,5.2,1200
REA,sodium-cyanide,1Na1C1N,1.6,600
REA,potassium-cyanide,1K1C1N,1.52,400
REA,lithium-cyanide,1Li1C1N,1.07,800
REA,calcium-cyanide,1Ca2C2N,1.85,800
REA,magnesium-cyanide,1Mg2C2N,1.5,900
REA,iron-cyanide,1Fe2C2N,2.0,500
REA,thiocyanic-acid,1H1S1C1N,2.04,278
# ices
ICE,phosphaethyne,1H1C1P,1.0,150
ICE,thioformaldehyde,2H1C1S,1.64,400
ICE,methanol,3H1C1O1H,0.79,180
ICE,ethanol,3H2C2H1O1H,0.79,170
ICE,ethylamine,3H2C2H1N2H,0.68,190
ICE,formaldehyde,2H1C1O,0.82,180
ICE,formamide,1H1C1O1N2H,1.13,180
ICE,formic-acid,2H1C2O,1.22,282
ICE,acetonitrile,2C3H1N,0.79,227
ICE,acetic-acid,2C4H2O,1.05,290
ICE,acetamide,1C3H1C1O1N2H,1.0,188
ICE,acetaldehyde,2C4H1O,0.78,151
ICE,urea,1C1O2N4H,1.0,400
ICE,carbonyl-sulfide,1O1C1S,1.0,134
ICE,carbon-disulfide,1C2S,1.26,165
ICE,phosgene,1C1O2Cl,1.0,145
ICE,cyano-hydroxide,1C1N1O1H,1.0,192
ICE,cyanogen,2C2N,0.95,240
ICE,cyanamide,1C2N2H,1.28,310
ICE,benzene,6C6H,0.88,280
ICE,phenol,6C5H1O1H,0.9,275
